,Alexandre’s Bar,Amarelim do Prado,Andrade’s Beer,Arcos Bar,Armazém Santa Amélia,Avalanche Espeteria,Azougue Fogo e Bar,Baiuca,Bar Bambú,Bar Bendita Baderna,Bar da Cíntia,Bar da Fia,Bar da Lu,Bar da Silvânia,Bar do Bartolomeu,Bar do Bem,Bar do Kim,Bar do Nelson,Bar do Primo,Bar do Regis,Bar do Romeu,Bar dos Meninos,Bar Du Du,Bar e Restaurante Bom Sabor,Bar e Restaurante do Joãozinho,Bar Estabelecimento,Bar Junto Juntinho,Bar Mania Mineira,Bar Pompéu,Bar Stella,Bar Temático Sta. Teresa,Barrigudinha Buteco,Barzim dos amigos,Bazin Bar,Beco Restaurante,Benjamin Bar,Boteco 86,Botequim Buritis,Botequim de Lourdes,Buteco do Lili,Buteco do Rod,Buteco Tô D’Boa,Buteco’s Bar,Butiquim On Cê Tá?,Café Bahia,Café Palhares,Camisola Bar,Canela Amarela,Cantina Arte Quintal,Cantinho da Baiana,Casa da Madrinha,Cervejaria Pajé,Chapa Mágica,Choperia América Norte Sul,Chopp da Esquina,Companhia do Dino,Conectados Bar,COSMOS,Deck Boi na Brasa,Dona Dora,Dona Ju Gastro Bar,Dona Suica,Ember BBQ,Espetinho do Boi,Espetinhos do Paulão,Espettinho.com,Fogão de Minas,Garagge Vintage,Geraldin da Cida,Golden Grill,Iracema Bar,Ivo Grill,Já To Inno,Juzé Bar,Köbes Emporium Bar,Koqueiros Bar,Lá Ele Bar,Leo da Quadra,Locomotiva’s Bar,Magnífico Quintal,Magrelo’s Bar,Mamute Bar,Marina’s Bar,Mineiros Beer,Mulão,Nosso Spetim,O Fino do Alho,Oratório Bar,Parada 10.95 Bar,Parada do Sabor,Pé de Cana,Pé de Goiaba,Planeta Lúpulo,PoiZé Bar e Petisqueira,Prado Beer,Prosa Boa,Quinteiro Bar e Restaurante,Quioxque Botequim Carioca,Quitandas da Tia Nice Bar,Rancho do Manoel,Recanto Vovó Tela,Regis Bar,Rei do Peixe,Resenha da Naty,Restaurante Jorge Americano,S.O.S PUB,Santa Boemia,Santuário Retrô,Seu Braz,Silvio’s Bar,Sinhá Erozitha Bistrôteco,Sô Bar,Spetim,Tanganica Art Bar,The Butcher,Toca do Ogro,Toninho – Alto Forno,Tropeiro do Lisboa,Us Motoca,Xambar,Xico da Kafua,Xico do Churrasco,Zé Bolacha,Zoo Bar
Buteco do Lili,12.52,33.94,27.59,30.51,33.4,21.43,37.38,34.91,47.73,32.37,26.39,23.2,27.55,57.55,76.71,51.7,54.17,27.96,40.96,46.03,24.57,48.28,29.83,39.49,63.94,36.92,40.1,29.99,23.28,20.22,25.78,40.82,47.6,0.47,25.57,34.52,41.76,65.21,30.27,0.0,29.52,25.34,23.08,21.8,23.02,23.02,28.65,42.22,30.65,32.01,28.03,51.77,23.73,52.73,43.19,23.74,33.0,29.05,24.13,23.02,55.09,22.03,35.38,59.0,22.64,64.81,9.33,5.69,40.91,70.16,22.59,22.24,29.24,23.08,26.24,28.71,7.37,63.31,33.73,34.52,40.74,28.34,27.84,27.37,29.94,22.83,22.83,30.47,36.96,5.69,32.86,44.83,34.52,32.86,33.0,5.69,27.41,57.62,28.71,20.88,28.9,27.84,22.03,30.65,24.06,51.77,27.85,27.84,20.22,31.4,28.71,27.37,33.19,36.48,36.48,33.73,24.06,26.43,46.77,24.06,37.23,27.37,11.18,25.91
Buteco do Rod,37.04,28.08,28.93,49.72,28.68,33.38,39.28,37.34,21.52,52.7,38.34,37.66,39.5,42.94,62.11,37.09,39.56,48.29,26.35,31.42,36.52,20.99,49.05,24.88,49.33,38.86,24.53,29.22,46.18,32.17,27.13,17.88,32.99,29.33,33.43,16.27,17.68,50.61,29.62,29.52,0.0,33.28,36.7,49.08,30.72,30.72,38.24,29.7,5.63,50.58,32.21,38.75,51.01,39.71,30.17,49.21,24.37,47.63,18.35,30.72,73.66,49.31,40.16,45.99,30.34,51.8,36.61,21.46,28.39,57.15,30.04,29.94,16.22,36.7,35.83,38.3,34.65,50.3,52.3,27.44,16.39,35.72,28.38,12.32,7.75,38.36,38.36,35.26,17.78,21.46,37.12,31.81,27.44,37.12,24.37,21.46,36.99,44.61,38.3,52.29,65.2,28.38,49.31,5.63,29.07,38.75,37.44,28.38,37.67,37.65,38.3,12.32,51.77,23.46,23.46,52.3,29.07,53.72,33.75,29.07,24.21,12.32,18.8,20.14
Buteco Tô D’Boa,16.76,52.34,45.99,48.91,10.29,10.27,55.78,53.31,46.44,52.81,16.79,6.78,18.49,75.95,95.11,70.1,72.57,48.4,59.36,64.43,16.19,45.91,48.23,57.89,82.34,55.32,55.11,48.39,17.41,13.43,44.18,42.79,66.0,25.15,43.97,45.33,46.73,83.61,48.67,25.34,33.28,0.0,4.79,22.47,41.66,41.66,47.29,60.86,32.44,50.65,46.67,70.41,23.16,62.87,61.83,22.9,51.64,47.69,16.29,41.66,73.73,13.24,54.02,77.64,41.28,83.45,20.4,20.42,59.55,88.8,41.23,40.88,47.88,4.79,44.88,47.35,18.45,81.95,52.37,10.2,36.28,46.97,46.47,22.37,34.19,5.04,5.04,49.11,40.77,20.42,51.49,63.47,10.2,51.49,51.64,20.42,46.04,76.26,47.35,20.04,19.77,46.47,13.24,32.44,42.7,70.41,46.48,46.47,5.33,50.04,47.35,22.37,51.83,55.12,55.12,52.37,42.7,17.14,65.41,42.7,55.87,22.37,23.1,13.08
Buteco’s Bar,14.5,50.08,43.73,46.65,12.98,5.26,53.52,51.05,49.86,50.55,11.79,1.77,13.48,73.69,92.85,67.84,70.31,46.14,57.1,62.17,13.25,49.33,45.97,55.63,80.08,53.06,56.24,46.13,15.15,10.5,41.92,46.21,63.74,22.89,41.71,50.66,57.9,81.35,46.41,23.08,36.7,4.79,0.0,17.45,39.14,39.14,44.78,58.35,35.9,48.13,44.15,67.89,14.63,68.86,59.31,17.87,49.13,45.18,19.74,39.14,71.21,8.64,51.5,75.13,38.76,80.94,17.89,17.91,57.04,86.29,38.72,38.36,45.36,0.0,42.37,44.83,15.93,79.44,49.85,12.93,39.73,44.46,43.96,25.82,37.64,0.25,0.25,46.59,44.23,17.91,48.98,60.96,12.93,48.98,49.13,17.91,43.53,73.75,44.83,15.01,12.95,43.96,8.64,35.9,40.19,67.89,43.97,43.96,2.84,47.52,44.83,25.82,49.32,52.61,52.61,49.85,40.19,11.77,62.89,40.19,53.36,25.82,20.58,16.54
Butiquim On Cê Tá?,13.22,48.8,42.45,45.37,29.27,16.42,52.24,49.77,62.59,49.27,22.02,19.22,23.18,72.41,91.57,66.56,69.03,44.86,55.82,60.89,11.1,63.14,44.69,54.34,78.8,51.78,54.95,44.85,12.07,9.8,40.64,55.68,62.46,21.61,40.43,49.38,56.62,80.07,45.13,21.8,49.08,22.47,17.45,0.0,43.74,43.74,43.24,62.95,51.38,39.96,48.75,72.49,13.04,73.46,63.91,14.89,53.73,36.06,35.13,43.74,63.04,16.63,56.1,79.73,43.36,85.54,22.49,22.51,61.64,90.89,43.32,42.96,49.96,17.6,41.81,43.83,20.53,84.04,41.68,29.04,51.94,49.06,48.56,40.16,50.66,17.35,17.35,51.19,57.68,22.51,53.58,65.56,29.04,53.58,53.73,22.51,43.1,78.35,43.83,12.03,23.51,48.56,16.63,51.38,44.79,72.49,43.42,48.56,14.74,47.86,43.83,40.16,40.2,57.21,57.21,41.68,44.79,21.04,67.49,44.79,57.96,40.16,25.18,31.92
Café Bahia,30.54,12.7,4.95,9.82,51.42,39.44,14.05,12.12,40.38,21.25,44.4,41.21,45.56,43.54,65.37,33.87,42.79,25.18,32.55,43.49,42.58,40.92,11.21,28.73,52.59,13.64,14.34,8.75,36.71,38.23,5.86,36.07,45.05,22.83,4.92,27.14,34.41,36.78,9.03,23.02,30.72,41.66,39.14,43.74,0.0,0.0,12.17,15.05,33.68,27.05,9.14,50.15,42.96,51.11,30.17,37.47,13.6,24.18,49.22,0.0,62.71,41.26,12.36,61.75,4.34,43.48,28.56,31.37,26.99,72.37,7.26,4.22,45.13,42.31,9.76,12.23,26.6,65.52,25.75,53.75,43.77,5.32,5.73,52.46,32.96,42.06,42.06,5.07,44.37,31.37,9.41,32.11,53.75,9.41,13.6,31.37,10.93,60.37,12.23,40.55,53.47,5.73,41.26,33.68,4.83,50.15,10.89,5.73,39.45,8.93,12.23,52.46,16.93,29.35,29.35,25.75,4.83,45.66,45.15,4.83,41.54,52.46,34.99,51.0
Café Palhares,30.54,12.7,4.95,9.82,51.42,39.44,14.05,12.12,40.38,21.25,44.4,41.21,45.56,43.54,65.37,33.87,42.79,25.18,32.55,43.49,42.58,40.92,11.21,28.73,52.59,13.64,14.34,8.75,36.71,38.23,5.86,36.07,45.05,22.83,4.92,27.14,34.41,36.78,9.03,23.02,30.72,41.66,39.14,43.74,0.0,0.0,12.17,15.05,33.68,27.05,9.14,50.15,42.96,51.11,30.17,37.47,13.6,24.18,49.22,0.0,62.71,41.26,12.36,61.75,4.34,43.48,28.56,31.37,26.99,72.37,7.26,4.22,45.13,42.31,9.76,12.23,26.6,65.52,25.75,53.75,43.77,5.32,5.73,52.46,32.96,42.06,42.06,5.07,44.37,31.37,9.41,32.11,53.75,9.41,13.6,31.37,10.93,60.37,12.23,40.55,53.47,5.73,41.26,33.68,4.83,50.15,10.89,5.73,39.45,8.93,12.23,52.46,16.93,29.35,29.35,25.75,4.83,45.66,45.15,4.83,41.54,52.46,34.99,51.0
Camisola Bar,33.41,22.8,16.45,13.0,57.05,45.08,21.92,20.81,49.09,5.96,45.57,46.85,44.44,52.25,74.08,42.58,51.51,18.58,41.26,51.0,37.02,49.64,4.75,37.44,61.31,23.94,24.52,18.85,31.69,36.94,14.64,43.59,52.57,28.47,11.57,34.66,43.12,70.19,19.13,28.65,38.24,47.29,44.78,43.24,12.17,12.17,0.0,34.48,53.95,16.7,20.29,56.33,35.79,57.29,43.05,29.67,25.26,13.83,56.66,15.07,54.9,46.17,24.32,82.34,12.87,53.09,33.56,37.03,33.17,93.5,14.42,14.29,52.57,50.68,2.59,2.08,34.97,86.65,15.4,62.12,64.04,14.92,20.09,59.91,53.24,50.43,50.43,14.49,60.29,37.03,21.78,68.16,62.12,21.78,25.26,37.03,1.82,80.96,2.08,32.75,45.67,20.09,46.17,53.95,13.12,56.33,3.56,20.09,47.82,7.16,2.08,59.91,4.3,35.53,35.53,15.4,13.12,43.68,51.33,13.12,60.56,59.91,40.65,58.45
Canela Amarela,49.74,5.02,12.08,17.61,54.82,58.65,15.89,13.95,34.36,40.66,63.61,60.42,64.77,37.52,45.82,27.85,23.24,44.59,26.53,25.04,61.79,34.91,33.11,22.71,33.04,15.48,9.98,8.77,56.12,57.43,22.92,38.15,23.11,42.04,14.68,29.39,28.4,22.18,9.45,42.22,29.7,60.86,58.35,62.95,15.05,15.05,34.48,0.0,30.99,38.87,8.59,43.11,62.22,44.07,23.87,49.3,8.41,36.0,45.52,16.94,84.87,60.51,18.49,35.7,15.66,20.37,47.82,47.7,6.51,38.41,14.51,16.16,26.72,61.57,24.63,27.1,45.86,31.56,37.57,54.61,41.08,17.58,11.99,41.72,30.28,61.32,61.32,16.68,37.33,47.7,15.45,25.81,54.61,15.45,8.41,47.7,25.8,34.32,27.1,52.37,65.29,11.99,60.51,30.99,12.76,43.11,26.24,11.99,58.71,23.05,27.1,41.72,30.22,22.31,22.31,37.57,12.76,64.92,38.11,12.76,34.5,41.72,45.53,47.3
Cantina Arte Quintal,38.17,29.21,30.07,50.86,28.87,47.08,40.41,38.47,14.92,53.83,52.04,37.85,53.2,44.07,63.24,38.22,40.7,49.42,27.48,32.55,50.21,14.38,50.18,26.01,50.46,39.99,25.66,30.35,47.31,45.86,28.26,11.27,34.12,30.47,34.56,13.8,15.21,51.74,30.75,30.65,5.63,32.44,35.9,51.38,33.68,33.68,53.95,30.99,0.0,51.45,33.08,39.62,51.88,40.58,31.04,50.08,25.24,48.5,18.42,31.59,74.53,50.17,41.03,46.85,31.21,52.66,37.48,28.1,29.26,58.01,30.9,30.81,17.09,36.76,36.69,39.16,35.52,51.16,53.17,27.5,12.99,36.58,29.25,11.67,4.13,38.42,38.42,36.12,11.93,28.1,37.99,32.68,27.5,37.99,25.24,28.1,37.86,45.47,39.16,53.15,66.07,29.25,50.17,0.0,29.94,39.62,38.3,29.25,37.73,38.51,39.16,11.67,52.64,24.33,24.33,53.17,29.94,54.58,34.62,29.94,25.08,11.67,25.45,20.2
Cantinho da Baiana,30.14,34.63,28.27,26.49,60.41,48.43,35.99,36.68,64.09,15.85,42.29,50.2,41.16,73.92,93.08,68.06,70.54,1.58,57.33,62.39,33.74,64.64,21.29,55.85,80.31,38.2,36.35,30.68,28.42,33.66,26.47,57.19,63.96,31.82,26.45,50.88,58.13,81.58,30.96,32.01,50.58,50.65,48.13,39.96,27.05,27.05,16.7,38.87,51.45,0.0,31.7,71.87,32.56,72.83,63.29,26.44,36.67,5.48,53.43,26.48,35.54,42.93,38.84,79.1,28.26,66.38,30.33,33.79,44.58,90.26,28.87,25.7,49.34,47.44,18.32,18.1,31.74,83.41,1.58,58.89,60.81,31.8,31.5,56.67,50.0,47.19,47.19,34.46,57.05,33.79,36.82,64.93,58.89,36.82,36.67,33.79,20.07,77.72,18.1,29.52,42.43,31.5,42.93,50.72,32.19,71.87,21.34,31.5,44.58,22.58,18.1,56.67,14.48,46.94,46.94,1.58,32.19,40.45,66.87,32.19,57.33,56.67,37.42,55.21
Casa da Madrinha,35.55,5.01,5.82,10.92,56.43,44.45,14.45,12.51,37.18,26.46,49.41,46.22,50.57,40.34,56.75,30.67,34.18,30.39,29.35,27.2,47.59,37.73,18.91,25.54,43.98,14.03,5.41,1.31,41.93,43.24,7.04,40.98,25.27,27.84,8.77,32.22,31.22,32.04,3.89,28.03,32.21,46.67,44.15,48.75,9.14,9.14,20.29,8.59,33.08,31.7,0.0,40.53,48.74,41.5,22.68,43.06,6.11,29.76,42.9,12.09,68.29,47.03,16.17,43.42,9.47,35.28,34.33,37.15,14.4,50.17,8.32,11.31,29.12,48.08,18.39,20.86,32.38,44.48,31.33,51.98,38.46,12.45,5.87,39.1,27.66,47.84,47.84,11.97,34.75,37.15,13.13,24.62,51.98,13.13,6.11,37.15,19.56,42.04,20.86,46.13,59.05,5.87,47.03,28.37,6.64,40.53,20.0,5.87,45.22,16.92,20.86,39.1,23.98,19.74,19.74,31.33,6.64,51.44,35.53,6.64,31.93,39.1,35.52,44.68
Cervejaria Pajé,59.29,41.33,46.58,55.63,59.89,68.19,70.27,71.11,18.02,62.5,73.15,69.96,74.31,5.38,39.19,16.65,18.41,70.56,24.28,21.12,71.33,18.57,54.96,22.8,30.23,69.85,34.8,39.49,68.45,66.98,44.77,19.24,22.69,51.58,49.55,24.62,23.62,40.3,45.59,51.77,38.75,70.41,67.89,72.49,50.15,50.15,56.33,43.11,39.62,71.87,40.53,0.0,73.91,3.1,18.82,72.11,46.31,70.53,56.32,57.65,96.56,72.21,76.19,35.2,55.03,41.01,59.51,59.39,50.32,35.74,53.88,56.87,29.71,73.26,63.95,66.42,57.55,25.77,75.2,65.4,27.17,62.52,55.18,44.25,37.22,73.01,73.01,62.06,22.78,59.39,48.4,20.47,65.4,48.4,46.31,59.39,65.12,33.82,66.42,75.19,88.1,55.18,72.21,32.77,55.87,0.0,65.56,55.18,70.4,65.76,66.42,44.25,69.54,23.69,23.69,75.2,55.87,76.61,5.81,55.87,25.09,44.25,57.22,58.1
Chapa Mágica,15.15,50.74,44.38,47.31,29.95,11.82,54.18,51.7,64.52,35.67,12.44,15.02,11.94,74.34,93.51,68.49,70.97,31.26,57.76,62.82,1.79,65.07,46.63,56.28,80.74,53.71,56.89,46.79,5.22,5.01,42.57,57.62,64.39,23.55,42.36,51.31,58.56,82.01,47.07,23.73,51.01,23.16,14.63,13.04,42.96,42.96,35.79,62.22,51.88,32.56,48.74,73.91,0.0,72.24,62.7,7.16,52.51,28.33,32.74,42.53,55.31,10.11,54.89,78.51,42.15,84.32,21.27,21.3,60.42,89.67,42.1,41.75,48.75,14.28,34.08,36.1,19.32,82.82,33.95,26.66,50.72,47.85,47.34,38.95,49.45,14.53,14.53,49.98,56.46,21.3,52.36,64.34,26.66,52.36,52.51,21.3,35.36,77.13,36.1,5.57,14.39,47.34,10.11,50.16,43.57,71.28,35.69,47.34,13.99,40.13,36.1,38.95,32.47,55.99,55.99,33.95,43.57,11.92,66.28,43.57,56.74,38.95,23.97,29.53
Choperia América Norte Sul,60.25,42.29,47.54,56.6,59.3,69.15,68.34,69.18,17.43,63.47,74.11,70.93,75.27,6.84,37.26,17.61,16.48,71.52,25.24,19.19,72.29,17.98,55.92,23.77,28.3,67.92,35.76,40.45,69.41,67.94,45.73,18.65,20.76,52.54,50.51,25.58,24.58,38.37,46.55,52.73,39.71,62.87,68.86,73.46,51.11,51.11,57.29,44.07,40.58,72.83,41.5,3.1,72.24,0.0,17.74,75.42,36.59,65.61,58.46,47.93,99.87,75.51,75.11,34.12,45.32,39.93,62.82,62.69,40.61,34.66,44.16,47.15,37.65,76.56,54.23,56.7,60.86,24.69,78.51,67.55,29.32,52.8,45.47,46.4,40.55,76.32,76.32,52.34,24.93,62.69,47.32,19.39,67.55,47.32,36.59,62.69,55.4,32.74,56.7,78.49,91.41,45.47,75.51,46.95,46.16,6.14,55.84,45.47,73.71,56.04,56.7,46.4,59.83,25.83,25.83,78.51,46.16,79.92,5.91,46.16,19.83,46.4,60.53,60.25
Chopp da Esquina,50.71,19.87,26.84,31.95,55.29,59.61,53.43,54.27,21.75,49.22,64.57,61.38,65.73,14.87,34.96,9.05,6.22,61.98,8.74,4.28,62.75,22.3,41.68,6.78,22.19,53.02,16.95,21.64,59.87,58.4,31.49,25.54,5.85,43.0,36.27,16.07,15.07,23.46,24.91,43.19,30.17,61.83,59.31,63.91,30.17,30.17,43.05,23.87,31.04,63.29,22.68,18.82,62.7,17.74,0.0,57.62,22.87,56.04,43.68,34.22,82.08,57.72,34.18,24.78,31.6,30.59,45.02,44.9,18.37,31.53,30.44,33.43,15.23,58.77,40.52,42.99,43.07,25.85,60.72,52.77,28.83,31.71,31.75,48.06,22.74,58.52,58.52,31.23,20.49,44.9,31.14,2.1,52.77,31.14,22.87,44.9,41.68,23.4,42.99,60.7,73.62,31.75,57.72,29.15,32.44,20.64,42.12,31.75,55.91,42.33,42.99,48.06,60.18,9.82,9.82,60.72,32.44,62.13,15.27,32.44,13.92,48.06,42.74,45.46
Companhia do Dino,15.16,45.05,38.7,41.82,29.69,16.43,48.69,47.1,62.72,29.55,17.98,19.65,16.85,72.54,91.71,66.69,69.16,25.14,55.95,61.02,8.67,63.27,34.47,54.48,78.93,48.63,46.77,41.1,4.18,8.59,36.89,55.81,62.59,23.55,36.87,49.51,56.75,80.21,41.39,23.74,49.21,22.9,17.87,14.89,37.47,37.47,29.67,49.3,50.08,26.44,43.06,72.11,7.16,75.42,57.62,0.0,45.9,23.52,35.73,35.71,50.5,16.04,48.07,74.69,37.5,80.5,17.67,23.11,53.81,85.85,38.11,34.93,44.93,18.1,29.27,31.29,21.13,79.0,29.14,29.64,56.4,41.03,40.74,40.76,45.59,17.95,17.95,43.69,52.64,23.11,46.08,60.52,29.64,46.08,45.9,23.11,30.56,73.31,31.29,3.44,24.83,40.74,16.04,46.31,41.42,67.45,30.88,40.74,15.34,35.32,31.29,40.76,27.66,52.17,52.17,29.14,41.42,16.96,62.45,41.42,52.92,40.76,25.78,32.52
Conectados Bar,40.52,4.13,10.28,15.38,49.49,49.42,16.78,14.84,29.03,31.44,54.39,51.2,55.55,32.19,54.02,22.52,31.45,35.37,21.2,26.23,52.56,29.58,23.89,17.39,41.25,16.37,0.0,5.07,46.9,48.21,11.5,32.83,21.0,32.81,13.23,24.07,23.07,25.98,8.34,33.0,24.37,51.64,49.13,53.73,13.6,13.6,25.26,8.41,25.24,36.67,6.11,46.31,52.51,36.59,22.87,45.9,0.0,33.48,40.19,14.34,79.54,55.19,18.44,37.68,13.19,29.55,42.49,42.37,8.67,44.43,12.04,13.56,21.39,56.24,22.11,24.58,40.53,38.75,35.05,49.28,37.35,15.97,9.39,36.39,24.95,55.99,55.99,15.49,29.02,42.37,15.4,18.89,49.28,15.4,0.0,42.37,23.28,36.3,24.58,49.85,62.77,9.39,55.19,25.66,10.16,34.8,23.72,9.39,53.38,20.45,24.58,36.39,27.7,14.0,14.0,35.05,10.16,59.59,29.8,10.16,26.19,36.39,40.2,41.97
COSMOS,26.24,31.76,25.41,23.62,57.45,42.32,32.24,31.13,61.14,12.98,38.39,47.25,37.27,61.21,90.12,51.54,67.58,4.18,54.37,59.44,29.84,61.69,18.42,52.9,77.35,35.33,33.48,27.81,24.52,29.76,23.6,54.23,61.01,28.87,23.58,47.93,55.17,78.62,28.09,29.05,47.63,47.69,45.18,36.06,24.18,24.18,13.83,36.0,48.5,5.48,29.76,70.53,28.33,65.61,56.04,23.52,33.48,0.0,51.3,24.35,36.84,40.8,35.75,76.97,26.13,64.25,28.2,31.66,42.45,88.13,26.74,23.57,47.21,45.31,16.19,15.97,29.61,81.28,1.66,56.76,58.68,29.67,29.37,54.54,47.87,45.06,45.06,32.33,54.92,31.66,33.21,62.8,56.76,33.21,34.54,31.66,17.94,75.59,15.97,27.38,40.3,29.37,40.8,48.59,30.06,69.73,19.21,29.37,42.45,20.45,15.97,54.54,12.35,44.81,44.81,1.66,30.06,38.32,64.73,30.06,55.2,54.54,35.28,53.08
Deck Boi na Brasa,25.88,43.74,40.77,53.57,12.71,25.18,51.11,49.17,31.52,56.54,31.71,21.69,33.4,58.6,77.76,52.75,55.22,52.13,42.01,47.08,31.71,30.99,52.89,40.54,64.99,50.7,40.19,44.65,32.68,29.19,38.96,27.87,48.65,23.66,48.62,30.4,31.81,66.26,44.94,24.13,18.35,16.29,19.74,35.13,49.22,49.22,56.66,45.52,18.42,53.43,42.9,56.32,32.74,58.46,43.68,35.73,40.19,51.3,0.0,40.52,75.74,30.98,49.96,59.34,43.42,65.15,22.14,19.04,41.74,70.5,39.83,39.73,29.57,22.53,45.62,48.09,20.18,63.65,54.38,13.27,20.94,45.51,38.18,7.03,18.85,24.19,24.19,45.05,25.43,19.04,46.92,45.16,13.27,46.92,37.72,19.04,46.79,57.96,48.09,35.66,37.51,38.18,30.98,17.1,38.87,48.12,47.23,38.18,23.5,47.44,48.09,7.03,53.84,36.81,36.81,54.38,38.87,34.88,53.14,38.87,37.56,7.03,16.38,5.97
Dona Dora,30.54,12.7,4.95,9.82,51.42,39.44,14.05,12.12,40.38,21.25,44.4,41.21,45.56,43.54,65.37,33.87,42.79,25.18,32.55,43.49,42.58,40.92,11.21,28.73,52.59,13.64,14.34,8.75,36.71,38.23,5.86,36.07,45.05,22.83,4.92,27.14,34.41,36.78,9.03,23.02,30.72,41.66,39.14,43.74,0.0,0.0,15.07,16.94,31.59,26.48,12.09,57.65,42.53,47.93,34.22,35.71,14.34,24.35,40.52,0.0,62.71,41.26,12.36,61.75,4.34,43.48,28.56,31.37,26.99,72.37,7.26,4.22,45.13,42.31,9.76,12.23,26.6,65.52,25.75,53.75,43.77,5.32,5.73,52.46,32.96,42.06,42.06,5.07,44.37,31.37,9.41,32.11,53.75,9.41,13.6,31.37,10.93,60.37,12.23,40.55,53.47,5.73,41.26,33.68,4.83,50.15,10.89,5.73,39.45,8.93,12.23,52.46,16.93,29.35,29.35,25.75,4.83,45.66,45.15,4.83,41.54,52.46,34.99,51.0
Dona Ju Gastro Bar,53.22,70.29,63.93,67.05,83.49,71.51,73.92,72.34,87.17,49.73,65.37,73.28,64.24,97.0,116.16,91.14,93.62,35.9,80.41,85.47,56.82,87.72,59.7,78.93,103.39,73.86,79.54,66.34,51.49,56.74,62.12,80.27,87.04,54.9,62.11,73.96,81.21,104.66,66.62,55.09,73.66,73.73,71.21,63.04,62.71,62.71,54.9,84.87,74.53,35.54,68.29,96.56,55.31,99.87,82.08,50.5,79.54,36.84,75.74,62.71,0.0,58.33,68.72,91.04,55.98,96.85,42.27,45.74,73.2,102.2,55.93,55.58,61.28,59.38,46.25,48.26,43.68,95.35,27.45,70.83,72.75,61.68,57.71,68.61,61.95,59.14,59.14,63.81,69.0,45.74,66.2,76.87,70.83,66.2,62.88,45.74,47.53,89.66,48.26,45.32,58.23,57.71,58.33,62.66,57.4,83.81,47.85,57.71,56.53,52.3,48.26,68.61,44.63,68.52,68.52,27.45,57.4,56.25,78.81,57.4,69.27,68.61,49.36,67.15
Dona Suica,13.45,49.03,42.68,45.6,21.09,5.4,52.47,50.0,62.82,46.04,4.96,9.03,6.12,72.64,91.8,66.79,69.26,41.63,56.05,61.12,11.2,63.37,44.92,54.58,79.03,52.01,55.19,45.08,13.93,8.45,40.87,55.91,62.69,21.84,40.66,49.61,56.85,80.3,45.36,22.03,49.31,13.24,8.64,16.63,41.26,41.26,46.17,60.51,50.17,42.93,47.03,72.21,10.11,75.51,57.72,16.04,55.19,40.8,30.98,41.26,58.33,0.0,52.37,76.0,39.63,81.8,18.76,18.78,57.9,87.16,39.58,39.23,46.23,8.62,43.23,47.05,16.8,80.31,50.72,21.07,48.21,45.33,44.83,36.43,46.93,8.87,8.87,47.46,53.95,18.78,49.85,61.82,21.07,49.85,49.99,18.78,44.4,74.62,47.05,14.77,8.5,44.83,0.0,47.64,41.05,68.76,44.84,44.83,11.6,48.39,47.05,36.43,43.42,53.47,53.47,50.72,41.05,6.03,63.76,41.05,54.22,36.43,21.45,29.38
Ember BBQ,42.9,16.8,11.78,9.93,63.78,51.8,2.89,6.64,78.55,26.76,56.76,53.57,57.92,72.23,71.64,65.85,58.17,37.54,39.5,60.27,54.94,79.1,18.32,35.69,51.1,0.0,18.44,15.76,49.07,50.59,14.99,82.34,34.97,35.19,11.99,72.87,71.87,32.7,16.47,35.38,40.16,54.02,51.5,56.1,12.36,12.36,24.32,18.49,41.03,38.84,16.17,76.19,54.89,75.11,34.18,48.07,18.44,35.75,49.96,12.36,68.72,52.37,0.0,53.73,12.98,35.47,39.31,42.12,33.18,64.36,13.58,12.86,40.75,53.06,19.48,22.17,37.35,57.51,36.9,59.78,80.94,6.67,11.83,53.94,39.28,52.81,52.81,9.04,72.6,42.12,2.63,54.66,59.78,2.63,16.37,42.12,20.65,52.36,22.17,51.71,64.62,11.83,52.01,39.99,10.92,69.85,20.43,11.83,50.2,16.41,22.17,53.94,26.01,29.99,29.99,36.9,10.92,56.41,64.48,10.92,66.03,53.94,43.02,52.48
Espetinho do Boi,66.52,40.61,47.58,59.32,71.1,75.43,54.15,54.99,37.56,82.21,80.39,77.2,81.55,31.24,14.87,24.86,17.19,77.8,34.11,19.28,78.57,38.11,78.56,32.63,0.0,53.73,37.68,42.37,75.69,74.21,52.22,41.36,20.73,58.82,74.29,31.88,30.88,24.18,45.65,59.0,45.99,77.64,75.13,79.73,61.75,61.75,82.34,35.7,46.85,79.1,43.42,35.2,78.51,34.12,24.78,74.69,37.68,76.97,59.34,61.75,91.04,76.0,53.73,0.0,49.98,22.77,66.33,66.21,27.71,10.46,48.82,51.81,41.17,80.08,58.89,61.36,64.38,7.76,82.03,74.08,50.12,54.52,44.62,61.19,44.07,79.83,79.83,56.89,41.78,66.21,50.47,23.83,74.08,50.47,41.25,66.21,60.06,5.43,61.36,82.01,94.93,44.62,79.03,50.46,45.39,30.23,60.5,44.62,77.22,60.7,61.36,61.19,81.49,31.1,31.1,82.03,45.39,83.44,24.86,45.39,35.21,61.19,64.05,66.77
