,Alexandre’s Bar,Amarelim do Prado,Andrade’s Beer,Arcos Bar,Armazém Santa Amélia,Avalanche Espeteria,Azougue Fogo e Bar,Baiuca,Bar Bambú,Bar Bendita Baderna,Bar da Cíntia,Bar da Fia,Bar da Lu,Bar da Silvânia,Bar do Bartolomeu,Bar do Bem,Bar do Kim,Bar do Nelson,Bar do Primo,Bar do Regis,Bar do Romeu,Bar dos Meninos,Bar Du Du,Bar e Restaurante Bom Sabor,Bar e Restaurante do Joãozinho,Bar Estabelecimento,Bar Junto Juntinho,Bar Mania Mineira,Bar Pompéu,Bar Stella,Bar Temático Sta. Teresa,Barrigudinha Buteco,Barzim dos amigos,Bazin Bar,Beco Restaurante,Benjamin Bar,Boteco 86,Botequim Buritis,Botequim de Lourdes,Buteco do Lili,Buteco do Rod,Buteco Tô D’Boa,Buteco’s Bar,Butiquim On Cê Tá?,Café Bahia,Café Palhares,Camisola Bar,Canela Amarela,Cantina Arte Quintal,Cantinho da Baiana,Casa da Madrinha,Cervejaria Pajé,Chapa Mágica,Choperia América Norte Sul,Chopp da Esquina,Companhia do Dino,Conectados Bar,COSMOS,Deck Boi na Brasa,Dona Dora,Dona Ju Gastro Bar,Dona Suica,Ember BBQ,Espetinho do Boi,Espetinhos do Paulão,Espettinho.com,Fogão de Minas,Garagge Vintage,Geraldin da Cida,Golden Grill,Iracema Bar,Ivo Grill,Já To Inno,Juzé Bar,Köbes Emporium Bar,Koqueiros Bar,Lá Ele Bar,Leo da Quadra,Locomotiva’s Bar,Magnífico Quintal,Magrelo’s Bar,Mamute Bar,Marina’s Bar,Mineiros Beer,Mulão,Nosso Spetim,O Fino do Alho,Oratório Bar,Parada 10.95 Bar,Parada do Sabor,Pé de Cana,Pé de Goiaba,Planeta Lúpulo,PoiZé Bar e Petisqueira,Prado Beer,Prosa Boa,Quinteiro Bar e Restaurante,Quioxque Botequim Carioca,Quitandas da Tia Nice Bar,Rancho do Manoel,Recanto Vovó Tela,Regis Bar,Rei do Peixe,Resenha da Naty,Restaurante Jorge Americano,S.O.S PUB,Santa Boemia,Santuário Retrô,Seu Braz,Silvio’s Bar,Sinhá Erozitha Bistrôteco,Sô Bar,Spetim,Tanganica Art Bar,The Butcher,Toca do Ogro,Toninho – Alto Forno,Tropeiro do Lisboa,Us Motoca,Xambar,Xico da Kafua,Xico do Churrasco,Zé Bolacha,Zoo Bar
Bar Du Du,11.674,5.642,3.317,2.712,17.939,14.347,4.317,3.984,14.545,3.194,15.057,14.878,14.72,15.493,22.043,12.593,15.271,6.384,12.197,15.124,12.492,14.71,0.0,11.636,23.567,5.497,7.166,6.136,11.265,12.174,3.93,14.752,12.752,8.894,2.849,14.638,14.784,15.066,4.854,8.95,14.714,14.47,13.792,13.408,3.362,3.362,1.426,9.933,15.053,6.388,5.674,16.487,13.988,16.775,12.503,10.341,7.166,5.527,15.866,3.362,17.911,13.477,5.497,23.567,3.464,14.812,9.667,10.511,9.54,26.915,3.93,3.127,14.638,13.792,1.85,1.443,9.08,24.861,5.997,17.225,18.079,3.361,3.809,16.838,14.838,13.717,13.717,3.123,14.752,10.511,4.734,13.085,17.225,4.734,7.166,10.511,1.264,23.154,1.443,11.265,15.14,3.809,13.477,15.053,3.537,16.487,1.146,3.809,12.934,0.0,1.443,16.838,3.009,10.247,10.247,5.997,3.537,14.545,14.987,3.537,13.904,16.838,11.597,16.4
Bar e Restaurante Bom Sabor,16.852,5.45,7.542,11.84,18.227,19.525,17.4,17.652,8.165,13.901,21.013,20.056,21.361,5.971,11.86,4.355,5.097,15.08,1.145,2.654,20.466,8.329,11.636,0.0,9.79,10.706,5.216,7.403,17.266,15.07,7.487,5.204,2.282,11.79,9.049,3.624,3.293,10.783,8.878,11.846,7.463,17.366,16.688,16.303,8.619,8.619,11.232,6.814,7.803,16.755,7.661,6.841,16.884,7.13,2.033,16.343,5.216,15.869,12.161,8.619,23.679,16.373,10.706,9.79,7.833,10.529,12.563,12.526,6.42,10.279,7.487,8.384,3.624,16.688,10.509,11.249,11.976,8.574,17.271,14.886,7.705,10.079,7.879,13.473,5.878,16.613,16.613,9.941,5.204,12.526,9.794,2.616,14.886,9.794,5.216,12.526,10.859,9.376,11.249,17.266,21.141,7.879,16.373,7.803,8.085,6.841,10.991,7.879,15.83,11.052,11.249,13.473,12.187,2.001,2.001,17.271,8.085,17.694,5.341,8.085,3.232,13.473,11.878,12.695
Bar e Restaurante do Joãozinho,19.956,12.183,14.275,17.796,21.33,22.628,16.245,16.498,11.269,24.663,24.117,23.16,24.465,9.373,4.462,7.459,5.156,23.34,10.233,5.784,23.57,11.433,23.567,9.79,0.0,15.33,12.375,12.799,24.603,22.406,14.646,12.534,6.023,19.127,21.984,12.351,10.623,7.086,13.926,19.182,14.8,24.703,24.024,23.64,15.778,15.778,18.392,9.913,15.139,24.092,13.193,9.07,24.221,8.491,6.657,23.68,12.375,23.205,19.498,15.778,31.016,23.709,15.33,0.0,14.993,6.832,19.9,19.863,8.313,3.139,14.646,15.543,12.351,24.024,17.668,18.409,19.313,2.329,24.608,22.223,15.035,16.355,13.386,18.356,13.221,23.95,23.95,17.066,12.534,19.863,15.142,7.15,22.223,15.142,12.375,19.863,18.018,1.63,18.409,24.603,28.478,13.386,23.709,15.139,13.617,9.07,18.15,13.386,23.167,18.211,18.409,18.356,24.448,9.331,9.331,24.608,13.617,25.031,7.457,13.617,10.562,18.356,19.214,20.032
Bar Estabelecimento,12.869,5.04,3.534,2.98,19.133,15.541,0.867,1.991,23.565,8.028,17.029,16.072,17.377,21.67,21.492,19.755,17.452,11.262,11.851,18.08,16.483,23.73,5.497,10.706,15.33,0.0,4.91,3.817,15.512,14.299,4.074,21.781,15.271,11.019,3.359,12.224,12.369,10.895,3.212,11.075,11.659,16.595,15.917,15.533,4.092,4.092,7.183,4.643,11.998,11.461,4.209,20.956,16.113,20.377,15.905,14.588,4.91,10.6,15.209,4.092,22.158,15.602,0.0,16.12,3.895,10.641,11.792,12.636,9.953,19.308,4.074,3.857,12.224,15.917,5.844,6.65,11.205,17.253,11.07,17.935,24.282,2.002,3.549,16.182,11.784,15.843,15.843,2.713,21.781,12.636,0.789,16.397,17.935,0.789,4.91,12.636,6.194,15.707,6.65,15.512,19.387,3.549,15.602,11.998,3.277,20.956,6.129,3.549,15.059,4.923,6.65,16.182,7.803,8.998,8.998,11.07,3.277,16.924,19.343,3.277,19.809,16.182,12.905,15.744
Bar Junto Juntinho,12.155,1.24,3.083,4.614,14.846,14.827,5.035,4.453,8.709,9.431,16.316,15.359,16.664,9.657,16.207,6.757,9.435,10.61,6.361,7.87,15.769,8.874,7.166,5.216,12.375,4.91,0.0,2.229,14.956,15.253,3.611,8.705,5.333,11.581,4.012,6.417,6.794,9.118,3.356,12.029,7.36,16.534,16.871,16.486,4.301,4.301,7.356,2.994,7.699,10.905,1.624,10.44,17.067,10.728,5.084,14.032,0.0,10.044,12.058,4.301,23.862,16.556,5.532,11.305,3.957,8.864,12.746,12.71,2.6,13.329,3.611,4.067,6.417,16.871,6.633,7.373,12.159,11.624,10.514,14.783,11.206,4.79,2.817,10.917,7.485,16.796,16.796,4.648,8.705,12.71,4.62,5.666,14.783,4.62,0.0,12.71,6.983,10.891,7.373,14.956,18.831,2.817,16.556,7.699,3.048,10.44,7.115,2.817,16.013,6.134,7.373,10.917,8.311,4.2,4.2,10.514,3.048,17.877,8.94,3.048,7.858,10.917,12.061,12.592
Bar Mania Mineira,11.125,1.737,1.849,3.273,17.389,13.797,3.942,3.36,10.885,8.4,15.285,14.328,15.633,10.943,16.631,8.933,9.859,9.579,8.548,7.766,14.739,11.05,6.136,7.403,12.799,3.817,2.229,0.0,13.255,12.222,1.896,10.112,6.74,8.942,2.335,7.823,8.202,10.525,1.884,8.998,8.766,14.518,13.84,13.455,2.625,2.625,5.655,2.632,9.105,9.204,0.392,11.847,14.036,12.135,6.491,12.331,1.52,8.344,13.396,2.625,19.901,13.524,4.727,12.712,2.242,10.271,9.715,10.558,4.007,14.736,1.896,2.39,7.823,13.84,4.932,5.672,9.128,13.032,8.813,16.121,12.613,3.114,1.14,14.368,8.891,13.765,13.765,2.971,10.112,10.558,3.815,7.074,16.121,3.815,1.52,10.558,5.282,12.299,5.672,13.255,17.13,1.14,13.524,9.105,1.371,11.847,5.414,1.14,12.982,4.457,5.672,14.368,6.61,5.608,5.608,8.813,1.371,14.846,10.347,1.371,9.265,14.368,11.092,13.931
Bar Pompéu,3.689,14.44,12.533,13.469,8.05,4.071,15.53,15.055,19.739,9.787,5.902,5.035,5.565,22.686,28.435,20.93,21.673,8.464,17.709,19.229,1.865,19.904,11.265,17.266,24.603,15.512,14.956,13.255,0.0,1.742,11.731,16.092,18.085,6.929,11.463,13.777,13.923,24.703,13.172,6.985,13.853,5.224,4.546,3.621,11.014,11.014,9.508,16.837,14.192,8.525,12.578,20.536,1.565,20.824,17.962,1.254,14.069,7.355,9.804,11.014,15.448,4.179,14.722,22.706,11.548,24.449,6.013,6.019,16.443,26.054,11.731,10.779,13.777,4.546,9.08,9.685,5.426,24.0,9.04,7.979,17.218,12.609,12.52,11.315,13.977,4.471,4.471,13.406,16.092,6.019,14.122,18.454,7.979,14.122,14.069,6.019,9.466,22.292,9.685,0.0,5.452,12.52,4.179,14.192,12.726,20.536,9.562,12.52,3.688,10.895,9.685,11.315,8.597,15.949,15.949,9.04,12.726,4.711,19.036,12.726,16.174,11.315,6.821,8.841
Bar Stella,2.731,13.406,11.5,12.378,7.348,2.464,14.439,13.696,17.543,11.132,4.143,3.425,4.491,20.489,26.238,18.733,19.476,9.809,15.512,17.033,0.924,17.707,12.174,15.07,22.406,14.299,15.253,12.222,1.742,0.0,11.34,15.65,17.643,6.009,11.761,13.335,13.481,24.261,12.907,6.065,9.65,4.03,3.15,2.941,11.469,11.469,11.081,17.23,13.758,10.098,12.971,20.094,1.503,20.382,17.52,2.578,14.463,8.929,8.758,11.469,17.022,2.534,15.177,22.264,11.354,24.007,5.092,5.099,16.837,25.612,11.34,11.234,13.335,3.15,10.654,11.259,4.505,23.557,10.614,6.933,13.928,13.064,12.914,10.395,13.544,3.225,3.225,13.704,15.65,5.099,14.42,18.012,6.933,14.42,14.463,5.099,11.04,21.85,11.259,1.74,4.597,12.914,2.534,13.758,11.781,20.094,11.136,12.914,3.063,13.982,11.259,10.395,10.171,15.507,15.507,10.614,11.781,3.856,18.593,11.781,15.732,10.395,5.9,7.795
Bar Temático Sta. Teresa,9.032,3.08,1.095,4.133,15.297,11.704,4.198,3.617,10.981,7.092,13.193,12.236,13.541,11.929,18.478,9.028,11.706,8.272,8.632,10.141,12.646,11.145,3.93,7.487,14.646,4.074,3.611,1.896,11.731,11.34,0.0,11.695,9.695,7.678,2.793,8.702,8.848,13.276,1.962,7.733,8.138,13.253,12.575,12.191,1.757,1.757,4.391,6.877,8.477,7.94,2.112,13.43,12.771,13.718,9.446,11.067,3.45,7.079,11.688,1.757,18.637,12.26,4.497,15.667,0.899,13.022,8.45,10.033,6.483,17.691,0.0,1.523,8.702,12.575,3.668,4.408,7.864,15.521,7.549,14.414,11.503,3.163,0.963,12.661,8.262,12.501,12.501,3.025,11.695,10.033,3.585,10.029,14.414,3.585,3.45,10.033,4.017,15.253,4.408,11.99,15.865,0.963,12.26,8.477,1.17,13.43,4.15,0.963,11.718,4.21,4.408,12.661,5.346,7.19,7.19,7.549,1.17,13.582,11.93,1.17,10.848,12.661,9.384,12.223
Barrigudinha Buteco,13.342,10.663,12.238,14.955,11.158,16.014,21.905,22.158,1.188,17.016,17.502,13.853,17.85,7.232,16.365,8.86,9.603,16.725,5.646,7.16,16.956,1.029,14.752,5.204,12.534,21.781,8.705,10.112,16.092,15.65,11.695,0.0,7.786,11.8,11.232,3.466,4.123,14.403,11.118,12.247,5.363,12.838,13.864,16.705,10.82,10.82,13.076,11.446,3.38,17.157,12.293,5.771,17.285,5.594,7.662,16.744,9.848,16.27,8.361,10.82,24.081,16.774,24.703,12.407,12.465,14.149,12.964,11.266,11.052,15.755,12.119,10.586,3.466,13.864,12.352,13.093,12.377,13.7,17.673,11.086,2.544,12.319,10.119,5.692,2.646,14.362,14.362,12.181,0.0,11.266,14.414,8.155,11.086,14.414,9.848,11.266,12.702,11.993,13.093,17.668,21.543,10.119,16.774,3.38,10.325,5.771,12.834,10.119,14.155,12.898,13.093,5.692,17.512,5.427,5.427,17.673,10.325,18.096,5.644,10.325,5.849,5.692,10.469,8.895
Barzim dos amigos,15.335,6.211,8.303,16.946,16.709,18.007,15.395,15.648,6.648,15.017,19.495,18.539,19.843,4.585,9.855,2.837,1.989,18.718,2.87,0.609,18.949,6.812,12.752,2.282,6.023,15.271,5.333,6.74,18.085,17.643,9.695,7.786,0.0,14.224,8.97,7.448,5.72,7.137,8.314,14.279,9.897,19.799,19.121,18.737,13.516,13.516,15.772,6.933,10.236,19.189,7.582,6.806,19.318,6.227,1.754,18.777,6.3,18.302,14.594,13.516,26.113,18.806,10.49,6.22,9.769,6.883,14.997,14.96,5.747,9.568,9.423,13.282,7.448,19.121,15.048,15.789,14.41,7.514,19.705,17.32,10.131,9.749,7.775,13.453,8.318,19.047,19.047,9.606,7.63,14.96,9.578,2.247,17.32,9.578,6.3,14.96,15.398,5.807,15.789,19.7,23.575,7.775,18.806,10.236,8.006,6.806,15.53,7.775,18.264,11.092,15.789,13.453,19.545,4.428,4.428,19.705,8.006,20.128,5.193,8.006,5.659,13.453,14.311,15.129
Bazin Bar,3.701,10.127,8.22,9.098,9.966,6.373,11.16,10.416,14.263,9.656,7.862,6.905,8.21,17.21,22.959,15.454,16.196,8.333,12.233,13.753,7.315,14.427,8.894,11.79,19.127,11.019,11.581,8.942,6.929,6.009,7.678,11.8,14.224,0.0,7.143,8.716,8.862,19.642,8.288,0.141,8.8,7.545,6.867,6.483,6.85,6.85,8.54,12.612,9.14,9.547,8.353,15.475,7.064,15.763,12.901,7.065,9.844,8.66,7.099,6.85,16.47,6.552,10.558,17.645,6.736,19.388,2.742,1.713,12.218,20.993,6.721,6.615,8.716,6.867,7.816,8.557,2.156,18.939,10.062,10.301,12.166,8.445,8.295,8.072,8.925,6.793,6.793,9.085,11.031,1.713,9.801,13.393,10.301,9.801,9.844,1.713,8.166,17.232,8.557,6.207,8.615,8.295,6.552,9.14,7.163,15.475,8.298,8.295,6.01,9.364,8.557,8.072,9.902,10.889,10.889,10.062,7.163,7.874,13.975,7.163,11.114,8.072,3.213,7.634
Beco Restaurante,9.453,3.52,1.195,1.846,15.718,12.126,2.963,2.756,17.12,6.825,13.614,12.657,13.962,13.491,25.816,10.591,11.642,8.004,15.09,16.61,13.067,17.285,2.849,9.049,21.984,3.359,4.012,2.335,11.463,11.761,2.793,11.232,8.97,7.143,0.0,13.359,13.505,13.189,1.778,7.671,10.028,13.191,12.513,12.128,1.477,1.477,3.472,4.404,10.367,7.935,2.631,14.865,12.709,15.154,10.881,11.062,3.969,7.074,14.587,1.477,18.632,12.197,3.598,22.288,1.417,12.935,8.388,9.232,7.918,21.601,2.308,1.242,13.359,12.513,2.749,3.489,7.801,19.546,7.544,15.946,13.393,1.485,1.61,15.559,10.153,12.438,12.438,1.659,13.131,9.232,2.636,11.464,15.946,2.636,3.969,9.232,3.099,21.874,3.489,11.986,15.861,1.61,12.197,10.367,1.338,14.865,3.086,1.61,11.655,2.498,3.489,15.559,4.9,8.626,8.626,7.544,1.338,13.519,13.365,1.338,12.283,15.559,10.318,15.121
Benjamin Bar,11.027,7.481,9.245,14.842,12.401,13.699,12.348,11.767,4.33,15.733,15.187,14.23,15.535,10.433,16.182,8.677,9.42,14.41,4.067,6.977,14.641,4.171,14.638,3.624,12.351,12.224,6.417,7.823,13.777,13.335,8.702,3.466,7.448,8.716,13.359,0.0,0.777,11.562,8.438,10.355,4.882,13.598,15.197,14.813,8.141,8.141,10.397,8.818,4.14,15.265,9.665,7.386,15.394,7.674,4.82,14.852,7.22,14.378,9.121,8.141,22.189,14.882,21.861,9.565,9.838,11.308,11.072,11.036,8.425,12.913,9.491,7.906,0.0,15.197,9.673,10.413,10.486,10.858,15.781,11.847,5.305,9.639,7.439,6.815,2.837,15.123,15.123,9.502,3.458,11.036,11.786,5.313,11.847,11.786,7.22,11.036,10.023,9.151,10.413,15.776,19.651,7.439,14.882,4.14,7.646,7.386,10.155,7.439,14.34,10.219,10.413,6.815,15.62,2.799,2.799,15.781,7.646,16.204,5.885,7.646,3.024,6.815,10.387,9.656
Boteco 86,11.173,9.134,9.391,14.987,12.547,13.845,12.494,11.912,4.988,15.879,15.333,14.376,15.681,8.706,14.455,6.95,7.693,14.556,3.736,5.249,14.787,4.829,14.784,3.293,10.623,12.369,6.794,8.202,13.923,13.481,8.848,4.123,5.72,8.862,13.505,0.777,0.0,11.262,10.582,12.529,5.303,14.02,17.371,16.987,10.323,10.323,12.937,8.519,4.562,17.439,9.365,7.086,17.567,7.374,4.521,17.026,6.92,16.552,9.543,10.323,24.363,17.056,21.562,9.265,9.538,11.008,13.246,13.21,8.125,12.613,9.191,10.088,0.742,17.371,12.213,12.954,12.659,10.559,17.955,12.268,5.727,11.783,9.583,7.236,3.258,17.297,17.297,11.645,4.905,13.21,11.487,5.013,12.268,11.487,6.92,13.21,12.563,8.852,12.954,17.95,21.825,9.583,17.056,4.562,9.79,7.086,12.695,9.583,16.514,12.756,12.954,7.236,17.794,2.5,2.5,17.955,9.79,18.378,5.586,9.79,2.725,7.236,12.561,10.077
Botequim Buritis,21.953,7.427,13.298,12.571,23.327,24.625,11.02,11.273,13.265,18.597,26.113,25.156,26.461,11.37,10.918,9.455,6.597,19.776,12.229,7.781,25.567,13.43,15.066,10.783,7.086,10.895,9.118,10.525,24.703,24.261,13.276,14.403,7.137,19.642,13.189,11.562,11.262,0.0,9.286,19.564,15.182,25.084,24.406,24.022,11.034,11.034,21.057,6.655,15.521,24.474,9.611,12.09,24.603,11.511,7.039,24.062,7.793,23.587,19.879,11.034,31.398,24.091,9.81,7.255,16.243,0.182,20.281,20.245,6.041,10.442,15.897,10.799,12.732,24.406,20.333,21.074,19.695,8.387,24.99,22.605,15.416,10.835,9.744,18.738,13.603,24.332,24.332,11.546,12.915,20.245,9.622,7.532,22.605,9.622,7.793,20.245,20.683,6.841,21.074,24.985,28.86,9.744,24.091,15.521,10.039,12.09,20.815,9.744,23.549,13.756,21.074,18.738,24.829,9.713,9.713,24.99,10.039,25.413,10.478,10.039,10.944,18.738,19.596,20.414
Botequim de Lourdes,10.599,2.865,0.999,2.422,15.981,13.271,3.336,2.755,12.371,8.534,14.759,13.802,15.107,13.319,17.758,10.419,10.986,9.713,10.023,8.893,14.213,12.536,4.854,8.878,13.926,3.212,3.356,1.884,13.172,12.907,1.962,11.118,8.314,8.288,1.778,8.438,10.582,9.286,0.0,9.082,8.885,14.602,13.924,13.54,2.71,2.71,5.74,2.835,9.224,9.288,1.166,13.677,14.12,13.966,7.474,12.416,2.503,8.428,13.481,2.71,19.986,13.609,4.941,13.696,2.327,9.155,9.799,10.643,4.991,15.72,1.98,2.475,7.865,13.924,5.016,5.757,9.212,14.015,8.898,16.206,12.25,3.033,1.225,14.453,9.01,13.85,13.85,2.891,11.942,10.643,4.029,8.057,16.206,4.029,2.503,10.643,5.366,13.282,5.757,13.339,17.214,1.225,13.609,9.224,1.456,13.677,5.498,1.225,13.066,4.542,5.757,14.453,6.694,7.438,7.438,8.898,1.456,14.931,12.177,1.456,11.095,14.453,11.176,14.015
Buteco do Lili,3.757,10.182,8.276,9.154,10.021,6.429,11.215,10.472,14.319,9.712,7.917,6.96,8.265,17.265,23.014,15.509,16.252,8.388,12.288,13.809,7.371,14.483,8.95,11.846,19.182,11.075,12.029,8.998,6.985,6.065,7.733,12.247,14.279,0.141,7.671,10.355,12.529,19.564,9.082,0.0,8.856,7.601,6.923,6.539,6.906,6.906,8.595,12.667,9.195,9.602,8.408,15.531,7.119,15.819,12.957,7.121,9.9,8.716,7.24,6.906,16.526,6.608,10.614,17.701,6.791,19.444,2.798,1.706,12.274,21.049,6.777,6.671,8.772,6.923,7.872,8.612,2.211,18.994,10.118,10.356,12.221,8.501,8.351,8.212,8.981,6.849,6.849,9.141,11.087,1.706,9.857,13.449,10.356,9.857,9.9,1.706,8.222,17.287,8.612,6.263,8.671,8.351,6.608,9.195,7.218,15.531,8.354,8.351,6.065,9.419,8.612,8.212,9.958,10.944,10.944,10.118,7.218,7.93,14.03,7.218,11.169,8.212,3.354,7.774
Buteco do Rod,11.111,8.423,8.68,14.917,8.603,10.014,11.783,11.202,6.457,15.809,11.503,11.297,11.851,12.883,18.632,11.127,11.869,14.486,7.906,9.426,10.956,6.298,14.714,7.463,14.8,11.659,7.36,8.766,13.853,9.65,8.138,5.363,9.897,8.8,10.028,4.882,5.303,15.182,8.885,8.856,0.0,9.983,11.009,14.724,9.217,9.217,11.472,8.911,1.69,15.175,9.664,11.626,15.304,11.914,9.052,14.763,7.312,14.289,5.506,9.217,22.099,14.793,12.049,13.796,9.102,15.539,10.983,6.437,8.517,17.144,9.011,8.982,4.867,11.009,10.749,11.489,10.396,15.089,15.691,8.232,4.916,10.715,8.515,3.697,2.326,11.507,11.507,10.577,5.334,6.437,11.137,9.544,8.232,11.137,7.312,6.437,11.098,13.382,11.489,15.686,19.561,8.515,14.793,1.69,8.721,11.626,11.231,8.515,11.3,11.295,11.489,3.697,15.531,7.039,7.039,15.691,8.721,16.115,10.125,8.721,7.264,3.697,5.64,6.041
Buteco Tô D’Boa,5.027,15.702,13.796,14.674,3.086,3.081,16.735,15.992,13.932,15.843,5.038,2.033,5.547,22.785,28.534,21.029,21.772,14.52,17.809,19.329,4.856,13.773,14.47,17.366,24.703,16.595,16.534,14.518,5.224,4.03,13.253,12.838,19.799,7.545,13.191,13.598,14.02,25.084,14.602,7.601,9.983,0.0,1.437,6.742,12.497,12.497,14.187,18.259,9.733,15.194,14.0,21.122,6.947,18.862,18.548,6.869,15.492,14.307,4.886,12.497,22.118,3.973,16.205,23.293,12.383,25.035,6.121,6.127,17.865,26.641,12.369,12.263,14.363,1.437,13.463,14.204,5.534,24.586,15.71,3.061,10.884,14.092,13.942,6.711,10.256,1.511,1.511,14.732,12.231,6.127,15.448,19.041,3.061,15.448,15.492,6.127,13.813,22.879,14.204,6.011,5.93,13.942,3.973,9.733,12.81,21.122,13.945,13.942,1.6,15.011,14.204,6.711,15.549,16.536,16.536,15.71,12.81,5.141,19.622,12.81,16.761,6.711,6.929,3.924
Buteco’s Bar,4.349,15.024,13.118,13.996,3.895,1.579,16.057,15.314,14.959,15.165,3.537,0.532,4.045,22.107,27.856,20.351,21.094,13.842,17.13,18.651,3.976,14.799,13.792,16.688,24.024,15.917,16.871,13.84,4.546,3.15,12.575,13.864,19.121,6.867,12.513,15.197,17.371,24.406,13.924,6.923,11.009,1.437,0.0,5.235,11.743,11.743,13.433,17.505,10.77,14.44,13.246,20.368,4.388,20.657,17.794,5.362,14.738,13.553,5.923,11.743,21.364,2.591,15.451,22.539,11.629,24.281,5.367,5.373,17.111,25.887,11.615,11.509,13.609,0.0,12.71,13.45,4.78,23.832,14.956,3.879,11.92,13.339,13.188,7.747,11.293,0.074,0.074,13.978,13.268,5.373,14.694,18.287,3.879,14.694,14.738,5.373,13.059,22.125,13.45,4.504,3.884,13.188,2.591,10.77,12.056,20.368,13.192,13.188,0.853,14.257,13.45,7.747,14.795,15.782,15.782,14.956,12.056,3.53,18.868,12.056,16.007,7.747,6.175,4.961
Butiquim On Cê Tá?,3.965,14.64,12.734,13.611,8.781,4.927,15.673,14.93,18.776,14.781,6.605,5.767,6.954,21.723,27.472,19.967,20.71,13.458,16.746,18.267,3.33,18.941,13.408,16.303,23.64,15.533,16.486,13.455,3.621,2.941,12.191,16.705,18.737,6.483,12.128,14.813,16.987,24.022,13.54,6.539,14.724,6.742,5.235,0.0,13.123,13.123,12.971,18.885,15.413,11.988,14.626,21.748,3.912,22.037,19.174,4.468,16.118,10.819,10.538,13.123,18.912,4.99,16.831,23.919,13.009,25.661,6.747,6.753,18.491,27.267,12.995,12.889,14.989,5.28,12.544,13.149,6.16,25.212,12.504,8.713,15.582,14.718,14.568,12.049,15.198,5.205,5.205,15.358,17.304,6.753,16.074,19.667,8.713,16.074,16.118,6.753,12.93,23.505,13.149,3.61,7.053,14.568,4.99,15.413,13.436,21.748,13.026,14.568,4.422,14.359,13.149,12.049,12.061,17.162,17.162,12.504,13.436,6.312,20.248,13.436,17.387,12.049,7.555,9.576
Café Bahia,9.161,3.81,1.485,2.946,15.425,11.833,4.216,3.635,12.113,6.375,13.321,12.364,13.669,13.061,19.61,10.16,12.838,7.554,9.764,13.046,12.775,12.277,3.362,8.619,15.778,4.092,4.301,2.625,11.014,11.469,1.757,10.82,13.516,6.85,1.477,8.141,10.323,11.034,2.71,6.906,9.217,12.497,11.743,13.123,0.0,0.0,3.652,4.514,10.104,8.115,2.742,15.045,12.889,15.334,9.05,11.242,4.079,7.254,14.767,0.0,18.812,12.377,3.708,18.525,1.302,13.045,8.568,9.411,8.098,21.712,2.179,1.265,13.539,12.692,2.929,3.669,7.981,19.657,7.724,16.126,13.13,1.595,1.72,15.739,9.889,12.618,12.618,1.522,13.31,9.411,2.823,9.633,16.126,2.823,4.079,9.411,3.278,18.111,3.669,12.165,16.04,1.72,12.377,10.104,1.448,15.045,3.266,1.72,11.835,2.678,3.669,15.739,5.08,8.806,8.806,7.724,1.448,13.699,13.545,1.448,12.463,15.739,10.498,15.301
Café Palhares,9.161,3.81,1.485,2.946,15.425,11.833,4.216,3.635,12.113,6.375,13.321,12.364,13.669,13.061,19.61,10.16,12.838,7.554,9.764,13.046,12.775,12.277,3.362,8.619,15.778,4.092,4.301,2.625,11.014,11.469,1.757,10.82,13.516,6.85,1.477,8.141,10.323,11.034,2.71,6.906,9.217,12.497,11.743,13.123,0.0,0.0,3.652,4.514,10.104,8.115,2.742,15.045,12.889,15.334,9.05,11.242,4.079,7.254,14.767,0.0,18.812,12.377,3.708,18.525,1.302,13.045,8.568,9.411,8.098,21.712,2.179,1.265,13.539,12.692,2.929,3.669,7.981,19.657,7.724,16.126,13.13,1.595,1.72,15.739,9.889,12.618,12.618,1.522,13.31,9.411,2.823,9.633,16.126,2.823,4.079,9.411,3.278,18.111,3.669,12.165,16.04,1.72,12.377,10.104,1.448,15.045,3.266,1.72,11.835,2.678,3.669,15.739,5.08,8.806,8.806,7.724,1.448,13.699,13.545,1.448,12.463,15.739,10.498,15.301
Camisola Bar,10.024,6.84,4.934,3.899,17.115,13.523,6.577,6.244,14.726,1.787,13.67,14.054,13.333,15.674,22.224,12.774,15.452,5.573,12.378,15.301,11.105,14.891,1.426,11.232,18.392,7.183,7.356,5.655,9.508,11.081,4.391,13.076,15.772,8.54,3.472,10.397,12.937,21.057,5.74,8.595,11.472,14.187,13.433,12.971,3.652,3.652,0.0,10.345,16.186,5.01,6.086,16.898,10.738,17.186,12.914,8.902,7.577,4.15,16.999,4.522,16.471,13.85,7.297,24.701,3.862,15.927,10.069,11.108,9.951,28.049,4.327,4.287,15.771,15.203,0.776,0.625,10.491,25.994,4.62,18.636,19.212,4.477,6.028,17.972,15.972,15.129,15.129,4.346,18.086,11.108,6.534,20.449,18.636,6.534,7.577,11.108,0.545,24.287,0.625,9.825,13.7,6.028,13.85,16.186,3.935,16.898,1.069,6.028,14.345,2.147,0.625,17.972,1.289,10.659,10.659,4.62,3.935,13.105,15.398,3.935,18.169,17.972,12.195,17.534
